Site,Trans,Meter,Quadrat,shrub,herb,moss,lichen,other
T-2Y4,3,20,C,60,5,20,5,10
T-2Y4,3,20,D,50,0,40,5,5
T-3Y4,1,0,A,55,0,10,30,5
T-3Y4,1,0,B,75,0,20,0,5
T-3Y4,1,0,C,30,0,40,25,5
T-3Y4,1,0,D,60,0,25,10,5
T-3Y4,1,20,A,20,1,77,0,2
T-3Y4,1,20,B,30,0,67,1,2
T-3Y4,1,20,C,35,1,61,1,2
T-3Y4,1,20,D,20,1,78,0,1
T-3Y4,2,0,A,40,0,50,5,5
T-3Y4,2,0,B,60,0,35,0,5
T-3Y4,2,0,C,90,0,10,0,0
T-3Y4,2,0,D,35,0,55,5,5
T-3Y4,2,20,A,85,2,8,0,5
T-3Y4,2,20,B,85,1,12,0,2
T-3Y4,2,20,C,70,1,19,0,10
T-3Y4,2,20,D,80,3,12,0,5
T-3Y4,3,0,A,45,2,45,3,5
T-3Y4,3,0,B,35,0,60,1,4
T-3Y4,3,0,C,60,1,29,0,10
T-3Y4,3,0,D,80,0,15,0,5
T-3Y4,3,20,A,88,2,5,0,5
T-3Y4,3,20,B,93,1,1,0,5
T-3Y4,3,20,C,85,0,12,0,3
T-3Y4,3,20,D,90,1,6,0,3
T-4Y4,1,0,A,80,0,0,0,20
T-4Y4,1,0,B,10,0,10,20,60
T-4Y4,1,0,C,10,0,40,30,20
T-4Y4,1,0,D,100,0,0,0,0
T-4Y4,1,20,A,70,0,15,15,0
T-4Y4,1,20,B,70,0,10,10,10
T-4Y4,1,20,C,80,0,10,0,10
T-4Y4,1,20,D,80,0,0,0,20
T-4Y4,2,0,A,50,20,5,5,20
T-4Y4,2,0,B,20,0,0,0,80
T-4Y4,2,0,C,50,5,0,0,45
T-4Y4,2,0,D,80,15,0,2,3
T-4Y4,2,20,A,45,1,50,0,4
T-4Y4,2,20,B,85,1,4,0,10
T-4Y4,2,20,C,95,0,5,0,0
T-4Y4,2,20,D,80,2,0,0,18
T-4Y4,3,0,A,100,0,0,0,0
T-4Y4,3,0,B,100,0,0,0,0
T-4Y4,3,0,C,100,0,0,0,0
T-4Y4,3,0,D,100,0,0,0,0
T-4Y4,3,20,A,85,2,3,0,10
T-4Y4,3,20,B,55,10,25,0,10
T-4Y4,3,20,C,95,2,0,0,3
T-4Y4,3,20,D,96,3,0,0,1
T-5Y4,1,0,A,40,5,10,30,15
T-5Y4,1,0,B,70,0,5,10,15
T-5Y4,1,0,C,80,0,0,10,10
T-5Y4,1,0,D,40,0,5,45,10
T-5Y4,1,20,A,70,10,10,0,10
T-5Y4,1,20,B,70,10,20,0,0
T-5Y4,1,20,C,70,5,5,0,20
T-5Y4,1,20,D,60,10,20,0,10
T-5Y4,2,0,A,35,0,20,10,35
T-5Y4,2,0,B,60,0,15,10,15
T-5Y4,2,0,C,50,0,20,10,20
T-5Y4,2,0,D,20,0,20,50,10
T-5Y4,2,20,A,30,5,10,50,5
T-5Y4,2,20,B,80,0,0,10,10
T-5Y4,2,20,C,80,0,0,20,0
T-5Y4,2,20,D,40,10,20,30,0
T-5Y4,3,0,A,45,0,30,0,25
T-5Y4,3,0,B,30,10,15,25,20
T-5Y4,3,0,C,65,5,5,10,15
T-5Y4,3,0,D,60,0,20,5,15
T-5Y4,3,20,A,10,0,40,0,50
T-5Y4,3,20,B,50,5,5,40,0
T-5Y4,3,20,C,20,20,30,30,0
T-5Y4,3,20,D,60,5,20,10,5
T-6Y4,1,0,A,5,0,70,15,10
T-6Y4,1,0,B,60,0,30,5,5
T-6Y4,1,0,C,85,5,5,0,5
T-6Y4,1,0,D,70,0,15,10,5
T-6Y4,1,20,A,70,5,5,10,10
T-6Y4,1,20,B,60,0,35,5,0
T-6Y4,1,20,C,70,1,17,2,10
T-6Y4,1,20,D,60,10,25,5,0
T-6Y4,2,0,A,80,0,15,0,5
T-6Y4,2,0,B,85,0,5,0,10
T-6Y4,2,0,C,90,0,10,0,0
T-6Y4,2,0,D,95,0,5,0,0
T-6Y4,2,20,A,70,0,20,0,10
T-6Y4,2,20,B,60,10,20,0,10
T-6Y4,2,20,C,40,10,20,10,20
T-6Y4,2,20,D,20,10,70,0,0
T-6Y4,3,0,A,70,0,10,15,5
T-6Y4,3,0,B,60,0,10,0,30
T-6Y4,3,0,C,40,0,10,0,50
T-6Y4,3,0,D,60,0,20,10,10
T-6Y4,3,20,A,20,40,0,0,20
T-6Y4,3,20,B,40,40,0,0,20
T-6Y4,3,20,C,40,30,0,0,30
T-6Y4,3,20,D,40,40,0,0,26
T-7Y4,1,0,A,25,5,55,5,10
T-7Y4,1,0,B,15,5,55,10,15
T-7Y4,1,0,C,20,5,15,55,5
T-7Y4,1,0,D,15,0,75,0,10
T-7Y4,1,20,A,30,0,40,30,0
T-7Y4,1,20,B,20,0,40,40,0
T-7Y4,1,20,C,60,0,40,0,0
T-7Y4,1,20,D,35,5,0,60,0
T-7Y4,2,0,A,35,5,20,25,15
T-7Y4,2,0,B,50,2,45,2,1
T-7Y4,2,0,C,50,0,40,5,10
T-7Y4,2,0,D,35,5,25,25,10
T-7Y4,2,20,A,40,0,0,60,0
T-7Y4,2,20,B,80,5,0,15,0
T-7Y4,2,20,C,25,5,20,50,0
T-7Y4,2,20,D,20,10,0,70,0
T-7Y4,3,0,A,20,0,80,0,0
T-7Y4,3,0,B,20,5,70,5,0
T-7Y4,3,0,C,40,0,35,5,5
T-7Y4,3,0,D,60,0,30,5,5
T-7Y4,3,20,A,30,10,30,15,25
T-7Y4,3,20,B,20,5,70,5,0
T-7Y4,3,20,C,60,5,20,10,0
T-7Y4,3,20,D,30,5,10,50,5
T-8Y4,1,0,A,25,0,0,70,5
T-8Y4,1,0,B,5,5,5,85,0
T-8Y4,1,0,C,90,0,0,10,0
T-8Y4,1,0,D,10,10,40,40,0
T-8Y4,1,20,A,15,0,0,80,0
T-8Y4,1,20,B,15,0,5,80,0
T-8Y4,1,20,C,50,0,50,0,0
T-8Y4,1,20,D,15,0,25,60,0
T-8Y4,2,0,A,60,5,20,5,10
T-8Y4,2,0,B,15,0,70,5,10
T-8Y4,2,0,C,20,0,45,20,15
T-8Y4,2,0,D,60,0,25,5,10
T-8Y4,2,20,A,30,0,30,40,0
T-8Y4,2,20,B,50,0,25,25,0
T-8Y4,2,20,C,50,0,35,15,0
T-8Y4,2,20,D,40,0,40,20,0
T-8Y4,3,0,A,20,5,75,0,0
T-8Y4,3,0,B,30,30,40,0,0
T-8Y4,3,0,C,25,5,70,0,0
T-8Y4,3,0,D,10,5,80,5,0
T-8Y4,3,20,A,20,10,30,30,10
T-8Y4,3,20,B,60,15,15,0,10
T-8Y4,3,20,C,70,0,5,0,25
T-8Y4,3,20,D,50,0,50,0,0
T-9Y4,1,0,A,20,0,35,40,5
T-9Y4,1,0,B,95,0,5,0,0
T-9Y4,1,0,C,30,0,45,20,5
T-9Y4,1,0,D,5,0,0,95,0
T-9Y4,1,20,A,30,0,0,70,0
T-9Y4,1,20,B,20,0,40,40,0
T-9Y4,1,20,C,50,0,40,10,0
T-9Y4,1,20,D,20,0,40,40,0
T-9Y4,2,0,A,40,0,50,0,10
T-9Y4,2,0,B,50,0,40,0,10
T-9Y4,2,0,C,55,0,40,0,5
T-9Y4,2,0,D,60,0,40,0,0
T-9Y4,2,20,A,40,0,40,0,20
T-9Y4,2,20,B,45,0,50,0,5
T-9Y4,2,20,C,30,0,5,65,0
T-9Y4,2,20,D,50,0,50,0,0
T-9Y4,3,0,A,20,0,40,10,30
T-9Y4,3,0,B,50,0,45,5,0
T-9Y4,3,0,C,50,0,50,0,0
T-9Y4,3,0,D,30,0,70,0,0
T-9Y4,3,20,A,80,0,15,0,5
T-9Y4,3,20,B,60,0,30,0,10
T-9Y4,3,20,C,40,0,30,0,30
T-9Y4,3,20,D,90,0,5,5,0
T-10Y4,1,0,A,55,0,30,5,10
T-10Y4,1,0,B,75,5,10,5,5
T-10Y4,1,0,C,60,0,20,15,5
T-10Y4,1,0,D,90,2,6,2,0
T-10Y4,1,20,A,90,0,10,0,0
T-10Y4,1,20,B,100,0,0,0,0
T-10Y4,1,20,C,90,0,5,5,0
T-10Y4,1,20,D,50,20,30,0,0
T-10Y4,2,0,A,40,50,0,5,5
T-10Y4,2,0,B,75,20,5,0,0
T-10Y4,2,0,C,40,10,50,0,0
T-10Y4,2,0,D,0,5,90,0,5
T-10Y4,2,20,A,20,0,50,30,0
T-10Y4,2,20,B,90,0,0,5,5
T-10Y4,2,20,C,60,0,10,0,30
T-10Y4,2,20,D,40,40,20,0,0
T-10Y4,3,0,A,5,15,70,10,0
T-10Y4,3,0,B,0,0,50,25,25
T-10Y4,3,0,C,20,0,80,0,0
T-10Y4,3,0,D,10,0,80,0,10
T-10Y4,3,20,A,10,40,20,0,30
T-10Y4,3,20,B,30,0,70,0,0
T-10Y4,3,20,C,70,0,0,0,30
T-10Y4,3,20,D,60,0,10,20,10
T-11Y4,1,0,A,7,0,13,80,0
T-11Y4,1,0,B,15,0,55,25,5
T-11Y4,1,0,C,25,0,40,5,30
T-11Y4,1,0,D,55,0,15,10,20
T-11Y4,1,20,A,40,10,5,30,15
T-11Y4,1,20,B,30,30,0,30,10
T-11Y4,1,20,C,20,30,20,0,30
T-11Y4,1,20,D,50,10,10,30,0
T-11Y4,2,0,A,20,5,20,0,55
T-11Y4,2,0,B,65,5,15,0,15
T-11Y4,2,0,C,10,10,10,0,70
T-11Y4,2,0,D,70,5,5,0,20
T-11Y4,2,20,A,100,0,0,0,0
T-11Y4,2,20,B,40,5,0,50,5
T-11Y4,2,20,C,20,0,0,80,0
T-11Y4,2,20,D,90,5,0,0,5
T-11Y4,3,0,A,10,0,10,80,0
T-11Y4,3,0,B,15,5,40,50,0
T-11Y4,3,0,C,10,5,5,80,0
T-11Y4,3,0,D,30,0,40,30,0
T-11Y4,3,20,A,20,5,5,70,0
T-11Y4,3,20,B,5,5,5,5,80
T-11Y4,3,20,C,40,0,50,10,0
T-11Y4,3,20,D,20,5,5,70,0
T-12Y4,1,0,A,90,0,0,3,7
T-12Y4,1,0,B,10,0,65,20,5
T-12Y4,1,0,C,15,0,20,60,5
T-12Y4,1,0,D,10,0,0,90,0
T-12Y4,1,20,A,90,0,0,5,0
T-12Y4,1,20,B,60,5,0,25,0
T-12Y4,1,20,C,30,0,40,25,5
T-12Y4,1,20,D,80,0,15,0,5
T-12Y4,2,0,A,55,10,2,3,30
T-12Y4,2,0,B,65,0,7,5,23
T-12Y4,2,0,C,70,0,15,35,10
T-12Y4,2,0,D,70,0,10,0,20
T-12Y4,2,20,A,10,20,30,35,5
T-12Y4,2,20,B,90,0,5,0,5
T-12Y4,2,20,C,90,0,0,10,0
T-12Y4,2,20,D,15,5,30,50,0
T-12Y4,3,0,A,40,0,50,10,0
T-12Y4,3,0,B,40,0,55,5,0
T-12Y4,3,0,C,80,15,0,5,0
T-12Y4,3,0,D,40,20,10,30,0
T-12Y4,3,20,A,20,20,20,20,20
T-12Y4,3,20,B,10,30,30,20,10
T-12Y4,3,20,C,25,30,35,0,10
T-12Y4,3,20,D,25,25,45,0,5
T-13Y4,1,0,A,15,0,7,75,3
T-13Y4,1,0,B,15,0,40,40,5
T-13Y4,1,0,C,65,0,10,20,5
T-13Y4,1,0,D,30,0,25,35,10
T-13Y4,1,20,A,75,0,0,10,15
T-13Y4,1,20,B,90,0,2,3,3
T-13Y4,1,20,C,75,2,0,13,10
T-13Y4,1,20,D,95,0,0,0,5
T-13Y4,2,0,A,40,40,0,0,20
T-13Y4,2,0,B,20,15,0,60,5
T-13Y4,2,0,C,40,7,30,15,8
T-13Y4,2,0,D,80,5,5,0,10
T-13Y4,2,20,A,50,0,30,0,20
T-13Y4,2,20,B,50,5,30,0,15
T-13Y4,2,20,C,40,0,25,25,10
T-13Y4,2,20,D,70,0,30,0,0
T-13Y4,3,0,A,10,3,80,2,5
T-13Y4,3,0,B,15,0,75,5,5
T-13Y4,3,0,C,NA,NA,NA,NA,NA
T-13Y4,3,0,D,60,10,10,0,20
T-13Y4,3,20,A,55,5,20,5,15
T-13Y4,3,20,B,55,5,30,0,10
T-13Y4,3,20,C,40,0,45,5,10
T-13Y4,3,20,D,25,0,65,10,0
T-14Y4,1,0,A,80,2,3,7,8
T-14Y4,1,0,B,90,7,0,3,0
T-14Y4,1,0,C,90,4,0,4,2
T-14Y4,1,0,D,35,5,50,0,10
T-14Y4,1,20,A,50,10,0,30,10
T-14Y4,1,20,B,30,0,10,50,10
T-14Y4,1,20,C,20,0,0,80,0
T-14Y4,1,20,D,80,5,10,0,5
T-14Y4,2,0,A,90,0,10,0,0
T-14Y4,2,0,B,85,0,15,0,0
T-14Y4,2,0,C,80,0,0,20,0
T-14Y4,2,0,D,92,0,3,0,5
T-14Y4,2,20,A,20,0,40,40,0
T-14Y4,2,20,B,40,10,45,5,0
T-14Y4,2,20,C,30,0,20,50,0
T-14Y4,2,20,D,10,0,0,90,0
T-14Y4,3,0,A,10,0,0,90,0
T-14Y4,3,0,B,10,0,0,90,0
T-14Y4,3,0,C,5,0,0,95,0
T-14Y4,3,0,D,5,0,0,95,0
T-14Y4,3,20,A,80,5,5,5,5
T-14Y4,3,20,B,30,30,30,10,0
T-14Y4,3,20,C,40,30,20,10,0
T-14Y4,3,20,D,30,30,10,30,0
T-15Y4,1,0,A,30,5,40,15,10
T-15Y4,1,0,B,5,0,75,20,0
T-15Y4,1,0,C,85,0,12,3,0
T-15Y4,1,0,D,17,3,10,65,5
T-15Y4,1,20,A,10,5,75,5,5
T-15Y4,1,20,B,69,1,10,5,15
T-15Y4,1,20,C,45,5,35,10,5
T-15Y4,1,20,D,40,5,10,40,5
T-15Y4,2,0,A,30,0,50,15,5
T-15Y4,2,0,B,20,0,5,70,5
T-15Y4,2,0,C,90,0,0,10,0
T-15Y4,2,0,D,65,0,15,15,5
T-15Y4,2,20,A,75,0,25,0,0
T-15Y4,2,20,B,20,0,20,55,5
T-15Y4,2,20,C,50,5,5,35,5
T-15Y4,2,20,D,65,0,25,10,0
T-15Y4,3,0,A,30,5,10,0,55
T-15Y4,3,0,B,70,5,5,5,10
T-15Y4,3,0,C,15,35,5,0,45
T-15Y4,3,0,D,50,3,0,7,40
T-15Y4,3,20,A,20,5,60,5,10
T-15Y4,3,20,B,20,0,5,70,5
T-15Y4,3,20,C,35,5,5,50,5
T-15Y4,3,20,D,35,5,35,15,10
T-16Y4,1,0,A,15,7,8,55,15
T-16Y4,1,0,B,50,5,20,10,15
T-16Y4,1,0,C,100,0,0,0,0
T-16Y4,1,0,D,95,0,0,3,2
T-16Y4,1,20,A,10,1,87,1,1
T-16Y4,1,20,B,20,0,70,5,5
T-16Y4,1,20,C,35,0,64,1,0
T-16Y4,1,20,D,10,1,88,0,1
T-16Y4,2,0,A,35,3,40,12,5
T-16Y4,2,0,B,10,0,0,90,0
T-16Y4,2,0,C,65,3,15,7,15
T-16Y4,2,0,D,30,0,40,30,0
T-16Y4,2,20,A,5,5,85,5,0
T-16Y4,2,20,B,25,5,55,10,5
T-16Y4,2,20,C,5,0,5,90,0
T-16Y4,2,20,D,25,0,65,10,0
T-16Y4,3,0,A,40,8,50,0,2
T-16Y4,3,0,B,55,7,10,8,20
T-16Y4,3,0,C,60,2,0,30,8
T-16Y4,3,0,D,35,0,60,0,5
T-16Y4,3,20,A,15,0,0,85,0
T-16Y4,3,20,B,20,0,0,80,0
T-16Y4,3,20,C,70,0,5,25,0
T-16Y4,3,20,D,25,5,5,65,0
